match_id,versus,bowling_team,bowler,overs,maidens,runs_given,wickets,economy,zeros,fours_given,sixes_given,wides,noballs
8,Ireland vs India,India,Ravindra Jadeja,1,0,7,0,7.00,2,1,0,0,0
8,Ireland vs India,Ireland,Mark Adair,4,0,27,1,6.75,13,3,0,3,0
8,Ireland vs India,Ireland,Josh Little,4,0,42,0,10.50,12,2,4,3,0
8,Ireland vs India,Ireland,Barry McCarthy,2.2,0,18,0,7.71,5,1,1,0,0
8,Ireland vs India,Ireland,Curtis Campher,1,0,4,0,4.00,3,0,0,0,0
8,Ireland vs India,Ireland,Ben White,1,0,6,1,6.00,3,1,0,0,0
9,P.N.G. vs Uganda,Uganda,Alpesh Ramjani,4,1,17,2,4.25,16,1,1,0,0
9,P.N.G. vs Uganda,Uganda,Cosmas Kyewuta,3.1,0,17,2,5.36,9,2,0,0,0
9,P.N.G. vs Uganda,Uganda,Juma Miyagi,4,0,11,2,2.75,16,0,0,0,1
9,P.N.G. vs Uganda,Uganda,Brian Masaba,4,0,17,1,4.25,11,1,0,0,0
9,P.N.G. vs Uganda,Uganda,Frank Nsubuga,4,2,4,2,1.00,20,0,0,0,0
9,P.N.G. vs Uganda,Papua New Guinea,Alei Nao,4,0,16,2,4.00,16,0,0,3,0
9,P.N.G. vs Uganda,Papua New Guinea,Norman Vanua,4,0,19,2,4.75,17,1,0,6,0
9,P.N.G. vs Uganda,Papua New Guinea,Chad Soper,4,0,13,1,3.25,14,0,0,1,0
9,P.N.G. vs Uganda,Papua New Guinea,Assad Vala,2,0,10,1,5.00,6,1,0,0,0
9,P.N.G. vs Uganda,Papua New Guinea,John Kariko,4,0,18,0,4.50,8,0,0,0,0
9,P.N.G. vs Uganda,Papua New Guinea,Charles Amini,0.2,0,2,0,6.00,1,0,0,0,0
10,Australia vs Oman,Oman,Bilal Khan,4,0,36,1,9.00,9,4,1,1,1
10,Australia vs Oman,Oman,Kaleemullah,3,0,30,1,10.00,7,4,1,0,0
10,Australia vs Oman,Oman,Shakeel Ahmed,4,0,28,0,7.00,10,2,1,0,1
10,Australia vs Oman,Oman,Mehran Khan,4,0,38,2,9.50,12,1,4,0,1
10,Australia vs Oman,Oman,Aqib Ilyas,4,0,18,0,4.50,10,1,0,0,0
10,Australia vs Oman,Oman,Zeeshan Maqsood,1,0,12,0,12.00,0,2,0,0,0
10,Australia vs Oman,Australia,Mitchell Starc,3,0,20,2,6.66,12,3,0,5,0
10,Australia vs Oman,Australia,Josh Hazlewood,4,0,21,0,5.25,12,1,1,0,0
10,Australia vs Oman,Australia,Nathan Ellis,4,0,28,2,7.00,9,2,1,1,0
10,Australia vs Oman,Australia,Marcus Stoinis,3,0,19,3,6.33,11,1,1,1,0
10,Australia vs Oman,Australia,Glenn Maxwell,2,0,11,0,5.50,5,1,0,1,0
10,Australia vs Oman,Australia,Adam Zampa,4,0,24,2,6.00,11,0,2,0,0
11,U.S.A. vs Pakistan,United States Of America,Nosthush Kenjige,4,0,30,3,7.50,10,1,2,0,0
11,U.S.A. vs Pakistan,United States Of America,Saurabh Netravalkar,4,0,18,2,4.50,13,0,1,0,0
11,U.S.A. vs Pakistan,United States Of America,Ali Khan,4,0,30,1,7.50,8,2,1,2,0
11,U.S.A. vs Pakistan,United States Of America,Harmeet Singh,4,0,34,0,8.50,9,2,2,1,0
11,U.S.A. vs Pakistan,United States Of America,Jasdeep Singh,3,0,37,1,12.33,4,2,3,1,0
11,U.S.A. vs Pakistan,United States Of America,Corey Anderson,1,0,6,0,6.00,3,1,0,0,0
11,U.S.A. vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,33,0,8.25,13,5,1,2,0
11,U.S.A. vs Pakistan,Pakistan,Mohammad Amir,4,0,25,1,6.25,12,2,0,3,0
11,U.S.A. vs Pakistan,Pakistan,Naseem Shah,4,0,26,1,6.50,9,3,0,2,0
11,U.S.A. vs Pakistan,Pakistan,Haris Rauf,4,0,37,1,9.25,9,4,1,1,0
11,U.S.A. vs Pakistan,Pakistan,Shadab Khan,3,0,27,0,9.00,4,0,2,1,0
11,U.S.A. vs Pakistan,Pakistan,Iftikhar Ahmed,1,0,10,0,10.00,2,2,0,0,0
12,Namibia vs Scotland,Scotland,Brad Wheal,4,0,33,3,8.25,8,2,1,1,1
12,Namibia vs Scotland,Scotland,Brad Currie,4,0,16,2,4.00,12,1,0,0,0
12,Namibia vs Scotland,Scotland,Chris Sole,3,0,23,1,7.66,7,3,0,1,1
12,Namibia vs Scotland,Scotland,Mark Watt,4,0,39,0,9.75,8,4,2,0,0
12,Namibia vs Scotland,Scotland,Chris Greaves,3,0,24,1,8.00,5,1,1,0,0
12,Namibia vs Scotland,Scotland,Michael Leask,2,0,16,1,8.00,4,1,1,0,0
12,Namibia vs Scotland,Namibia,Ruben Trumpelmann,4,0,36,1,9.00,9,1,1,4,1
12,Namibia vs Scotland,Namibia,David Wiese,3.3,0,30,0,8.57,10,1,3,0,0
12,Namibia vs Scotland,Namibia,Tangeni Lungameni,3,0,39,1,13.00,4,3,2,1,0
12,Namibia vs Scotland,Namibia,Bernard Scholtz,4,0,20,1,5.00,7,1,0,0,0
12,Namibia vs Scotland,Namibia,Gerhard Erasmus,4,0,29,2,7.25,9,1,1,2,0
13,Canada vs Ireland,Ireland,Mark Adair,4,0,23,1,5.75,10,2,0,1,0
13,Canada vs Ireland,Ireland,Josh Little,4,0,37,0,9.25,6,4,0,2,0
13,Canada vs Ireland,Ireland,Craig Young,4,0,32,2,8.00,13,3,2,1,0
13,Canada vs Ireland,Ireland,Barry McCarthy,4,0,24,2,6.00,12,4,0,0,0
13,Canada vs Ireland,Ireland,Gareth Delany,2,0,10,1,5.00,5,0,0,0,0
13,Canada vs Ireland,Ireland,Curtis Campher,2,0,11,0,5.50,4,0,0,1,0
13,Canada vs Ireland,Canada,Kaleem Sana,4,0,38,0,9.50,11,4,1,3,0
13,Canada vs Ireland,Canada,Jeremy Gordon,4,0,16,2,4.00,14,1,0,1,0
13,Canada vs Ireland,Canada,Junaid Siddiqui,4,0,27,1,6.75,9,1,1,0,0
13,Canada vs Ireland,Canada,Saad Bin Zafar,4,0,22,1,5.50,7,0,0,0,0
13,Canada vs Ireland,Canada,Dilon Heyliger,4,0,18,2,4.50,12,1,0,1,0
14,Afghanistan vs New Zealand,New Zealand,Trent Boult,4,0,22,2,5.50,12,1,1,0,0
14,Afghanistan vs New Zealand,New Zealand,Matt Henry,4,0,37,2,9.25,10,3,2,0,0
14,Afghanistan vs New Zealand,New Zealand,Mitchell Santner,4,0,24,0,6.00,11,3,0,0,0
14,Afghanistan vs New Zealand,New Zealand,Michael Bracewell,3,0,27,0,9.00,6,0,3,0,0
14,Afghanistan vs New Zealand,New Zealand,Lockie Ferguson,4,0,28,1,7.00,12,3,1,0,0
14,Afghanistan vs New Zealand,New Zealand,Daryl Mitchell,1,0,16,0,16.00,0,0,2,0,0
